,Lake Name,Country,Concentration of total phosphorus (mgL),Concentration of cyanobacterial hepatotoxin microcystin YR (ugL),Concentration of cyanobacterial hepatotoxin microcystin dmRR (ugL),Concentration of cyanobacterial hepatotoxin microcystin RR (ugL),Concentration of cyanobacterial hepatotoxin microcystin dmLR (ugL),Concentration of cyanobacterial hepatotoxin microcystin LR (ugL)
183,Geffense,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0
363,Derwent,UK,0.01,0.0,0.0,0.0,0.0,0.0
287,Krankesjon,Sweden,0.01,0.046,0.0,0.0,0.0115,0.4887
217,Goreckie,Poland,0.02,0.032,0.3023,0.0,0.2529,0.0
155,Caldonazzo,Italy,0.02,0.0,0.0577,0.0,0.0034,0.0
227,Lednica,Poland,0.02,0.0,0.0,0.0,0.0,0.0
47,Peetschsee,Germany,0.02,0.0,0.047,0.0,0.0028,0.0
48,Pfsarrsee,Germany,0.02,0.015,0.3318,0.0,0.0199,0.0
53,Roofensee,Germany,0.02,0.002,0.0,0.0,0.0028,0.0557
315,Beysehir_2,Turkey,0.02,0.0,0.0,0.0,0.0,0.0
216,Dziekanowskie,Poland,0.02,0.0,0.0,0.0,0.0,0.0
210,Bukowieckie Mate,Poland,0.02,0.002,0.0261,0.0258,0.0028,0.0344
209,Bukowieckie Dute,Poland,0.02,0.006,0.0218,0.0281,0.0028,0.048
72,Lyngby ,Denmark,0.02,0.025,0.0,0.0529,0.0392,0.0364
316,Borabay,Turkey,0.02,0.0,0.0,0.0,0.0,0.0
203,Vansjo-Storefjorden,Norway,0.02,0.002,0.0,0.0,0.0028,0.0042
325,Gici,Turkey,0.02,0.002,0.0,0.0,0.0,0.0
86,Embalse de Arcos de la Frontera,Spain,0.02,0.002,0.0,0.0,0.0028,0.0142
88,La Baells,Spain,0.02,0.0,0.0,0.0,0.0,0.0
191,Plaas aan de Reeweg,Netherlands,0.02,0.0,0.0,0.0,0.0163,0.0255
100,Doninos,Spain,0.02,0.0,0.0,0.0149,0.0028,0.0041
157,Garda,Italy,0.02,0.0,0.2255,0.0,0.0019,0.0
173,Simnas,Lithouania,0.02,0.093,0.1088,1.6451,0.0225,0.5492
158,Iseo,Italy,0.02,0.002,0.0312,0.0,0.0021,0.0
121,Harkmerifjarden,Finland,0.02,0.0,0.0,0.0,0.0,0.0
342,Mollakoy,Turkey,0.02,0.0,0.0,0.0,0.0,0.0
117,Embalse de Tous,Spain,0.02,0.0,0.0,0.0,0.0,0.0
35,Grosser Dabelowsee,Germany,0.02,0.0,0.0,0.0,0.0,0.0
237,Pniewskie,Poland,0.02,0.021,0.0,0.1674,0.0028,0.0895
164,Gaustvinis,Lithouania,0.02,0.014,0.0,0.2252,0.0122,0.1002
6,Hallwil,Switzerland,0.02,0.071,0.3016,0.0,0.2896,0.0051
307,Ak lake,Turkey,0.02,0.002,0.0,0.0,0.0168,1.1479
133,Bajer,Croatia,0.02,0.0,0.0,0.0,0.0,0.0
5,Greifen,Switzerland,0.02,0.0,0.0,0.0,0.0,0.0
269,Uzarzewskie,Poland,0.02,0.002,0.6235,0.0,0.0539,0.0
154,Templehouse,Ireland,0.02,0.0,0.0,0.0,0.0028,0.0
11,Pfaffikon,Switzerland,0.02,0.005,0.0,0.0,0.011,0.0
281,Lagoa Verde,Portugal,0.02,0.002,0.0,0.0609,0.0,0.0042
304,Zemplinska,Slovakia,0.02,0.002,0.0,0.0194,0.0,0.0078
359,Uzungol,Turkey,0.02,0.0,0.0,0.0,0.0,0.0
303,Vinne,Slovakia,0.02,0.002,0.0,0.1295,0.0028,0.0509
1,Brenet,Switzerland,0.02,0.0,0.0,0.0,0.0011,0.0
4,Geneva_GE3,Switzerland,0.02,0.0,0.0,0.0,0.0,0.0
239,Podkamycze_1,Poland,0.03,0.0,0.0,0.0,0.0,0.0
293,Strandsjon,Sweden,0.03,0.002,0.0,0.0,0.0,0.0
290,Eastern Ringsjon,Sweden,0.03,0.01,0.2342,0.1816,0.0515,0.0739
319,Cubuk,Turkey,0.03,0.0,0.0,0.0,0.0,0.0
90,Boadella,Spain,0.03,0.0,0.0,0.0,0.0,0.0
92,Basturs petit,Spain,0.03,0.0,0.0,0.0,0.0,0.0
32,Bikowsee,Germany,0.03,0.044,0.0,0.0,0.0237,0.0
332,Karacaoren_1,Turkey,0.03,0.0,0.0,0.0,0.0,0.0
96,Cedillo,Spain,0.03,0.152,0.0747,1.523,0.055,1.3347
126,Stortrasket,Finland,0.03,0.0,0.0,0.0,0.0,0.0
124,Littoistenjarvi,Finland,0.03,0.002,0.0,0.3288,0.0975,0.1839
107,Laguna Grande de Villafranca,Spain,0.03,0.0,0.0,0.0056,0.0,0.0
170,Niedulis,Lithouania,0.03,0.12,5.181,0.0721,0.2691,0.0347
111,Ribarroja Reservoir,Spain,0.03,0.0,0.0,0.0,0.0,0.0042
118,Valdecanas,Spain,0.03,0.007,0.0,0.1143,0.0125,0.3204
93,Basturs,Spain,0.03,0.0,0.0,0.0,0.0,0.0
15,Zurich,Switzerland,0.03,0.191,1.0311,0.0,0.3319,0.0
78,Peipsi,Estonia,0.03,0.017,0.0,0.1869,0.0221,0.1026
361,Bassenthwaite,UK,0.03,0.0,0.0,0.0,0.0028,0.0
153,Milltown,Ireland,0.03,0.0,0.0,0.0,0.0,0.0
214,Debno,Poland,0.03,0.002,0.2503,0.0,0.0229,0.0
229,Lodzko Dymaczewskie,Poland,0.03,1.266,6.2518,0.0,1.0764,0.0429
213,Czerniakowskie,Poland,0.03,0.007,0.0,0.1036,0.0,0.0427
66,Bagsvaerd ,Denmark,0.03,0.059,0.0,0.1365,0.0095,0.1327
271,Zemborzycki,Poland,0.03,0.002,0.0,0.0539,0.0028,0.0151
145,Savica,Croatia,0.03,0.0,0.0,0.0,0.0,0.0
68,Farum ,Denmark,0.03,0.002,0.0,0.0,0.0,0.0
38,Domjuchsee,Germany,0.03,0.0,0.0,0.0,0.0,0.0
114,Sobrado,Spain,0.04,0.0,0.0,0.0,0.0,0.0
230,Lubosinskie,Poland,0.04,0.855,4.7671,0.0,1.1346,0.0466
251,Skanda,Poland,0.04,0.61,1.7397,0.0,0.2756,0.0
51,Prebelowsee,Germany,0.04,0.0,0.0,0.0,0.0,0.0
34,Constance,Germany,0.04,0.0,0.0,0.0,0.0,0.0
109,Mequinenza Reservoir,Spain,0.04,0.0,0.0,0.0,0.0,0.0
240,Podkamycze_2,Poland,0.04,0.108,0.0604,1.0054,0.0523,1.2578
26,Matejovsky,Czech Republic,0.04,0.065,0.0,0.1211,0.0076,0.105
46,Oberuckersee,Germany,0.04,0.002,0.0,0.0,0.0028,0.0115
223,Kielpinskie,Poland,0.04,0.002,0.0,0.0,0.0,0.0
50,Platinsee,Germany,0.04,0.002,0.0,0.0,0.0028,0.0
43,Labusee,Germany,0.04,0.002,0.0,0.0,0.0092,0.0
341,Mogan,Turkey,0.04,0.0,0.0,0.0,0.0,0.0
208,Bninskie,Poland,0.04,0.0,0.0,0.0,0.0,0.0
295,Valloxen,Sweden,0.04,4.921,0.0,0.0253,3.166,0.1614
218,Grylewskie,Poland,0.04,0.014,0.0253,0.0649,0.0028,0.0642
119,Vallfornes,Spain,0.04,0.0,1.8139,0.0,0.0,0.0
63,Grosser Wentowsee,Germany,0.04,0.0,0.0,0.0,0.0,0.0
329,Ikizcetepeler,Turkey,0.04,0.0,0.0,0.0,0.0,0.0
327,Golhisar,Turkey,0.04,0.002,0.0,0.0075,0.0028,0.0035
134,Butoniga,Croatia,0.04,0.0,0.0,0.0,0.0,0.0
324,Eymir,Turkey,0.04,0.013,0.0514,0.7075,0.0075,0.247
322,Egirdir_1,Turkey,0.04,0.0,0.0,0.0058,0.0,0.0
13,Geneva_SHL2,Switzerland,0.04,0.0,0.0,0.0,0.0,0.0
79,Raigastvere,Estonia,0.04,0.269,0.0,1.0175,0.0769,1.0917
77,Lammijarv,Estonia,0.04,0.018,0.0,0.2356,0.0257,0.1198
367,Windermere North Basin,UK,0.04,0.002,0.0,0.0,0.0129,0.0
67,Bastrup ,Denmark,0.04,0.009,0.0,0.0301,0.0023,0.0186
159,Levico,Italy,0.05,0.046,0.0251,0.0,0.2076,0.0
147,Vransko,Croatia,0.05,0.0,0.0,0.0,0.0,0.0
167,Jieznas,Lithouania,0.05,0.055,0.0,0.6232,0.0436,0.2533
168,Lukstas,Lithouania,0.05,0.058,0.3418,0.7915,0.0714,0.3318
