"Lake_ID","Date","LakeName","LabName","Country","Latitude","Longitude","Altitude_m","MaximumDepth_m","MeanDepth_m","SecchiDepth_m","SamplingDepth_m","ThermoclineDepth_m","SurfaceTemperature_C","EpilimneticTemperature_C","TP_mgL","TN_mgL","NO3NO2_mgL","NH3_mgL","PO4_ugL","Chlorophylla_ugL","Chlorophyllb_ugL","Zeaxanthin_ugL","Diadinoxanthin_ugL","Fucoxanthin_ugL","Diatoxanthin_ugL","Alloxanthin_ugL","Peridinin_ugL","Chlorophyllc2_ugL","Echinenone_ugL","Lutein_ugL","Violaxanthin_ugL","MC_YR_ugL","MC_dmRR_ugL","MC_RR_ugL","MC_dmLR_ugL","MC_LR_ugL","MC_LY_ugL","MC_LW_ugL","MC_LF_ugL","NOD_ugL","CYN_ugL","ATX_ugL"
"AT_MON",2015-08-03,"Mondsee","WEISSE","Austria",47.80302778,13.42019444,481,68,36,2.4,10,9.26,20.44,17.93,0.15,NA,0.257,0.03,NA,1.976,0,0,0,0.267,0,0,0.189,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH_BRE",2015-08-12,"Brenet","FOREL","Switzerland",46.67375,6.322252778,1002,18,NA,1.05,10.5,11.79,23.02,21.06,0.02,0.6,0.118,NA,NA,0.618,0,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0
"CH_BRET",2015-08-25,"Bret","FOREL","Switzerland",46.51416111,6.773583333,674,13,NA,1.6,9,7.91,20.58,19.25,0.09,0.2,0.007,NA,6.421,5.91,2.289,1.032,0,0,0,0.229,0,0,0,0,0,0.002,0,0,0.0027,0.0042,0,0,0,0,0,0
"CH_DIV",2015-08-14,"Divonne","FOREL","Switzerland",46.35461667,6.152488889,466,4,NA,3.5,3,NA,25.99,25.85,0.12,0.2,NA,NA,4.543,5.328,0.677,0,0,0.941,0,0,0,0.192,0,0,0,0,0,0,0.0017,0.0187,0,0,0,0,0,0
"CH_GE3",2015-08-10,"Geneva_GE3","FOREL","Switzerland",46.29200278,6.213036111,372,310,154.4,4.6,21,20.29,22.54,13.95,0.02,0.5,0.44,NA,4.386,2.121,0.704,0.257,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH_GRE",2015-08-20,"Greifen","FOREL","Switzerland",47.33993333,8.678416667,435,32,18,1.15,13,8.83,21.1,16.23,0.02,1.4,0.84,NA,NA,2.9,0.833,0.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH_HAL",2015-08-17,"Hallwil","FOREL","Switzerland",47.28744722,8.2115,449,48,28,1.75,12,8.57,23.86,19.36,0.02,1.1,0.73,NA,NA,6.711,0.3,0.827,0,0,0,0,0,0.15,0,0,0,0.071,0.3016,0,0.2896,0.0051,0,0,0,0,0,0
"CH_JOU",2015-08-12,"Joux","FOREL","Switzerland",46.63895278,6.286463889,1004,32,NA,4,11,11.25,21.55,19.71,0.07,0.4,0.08,NA,NA,2.585,0.139,0.188,0,0.172,0,0.146,0,0.118,0,0,0,0.028,0.0904,0,0.056,0.0029,0,0,0,0,0,0
"CH_LUC",2015-08-27,"Lucerne","FOREL","Switzerland",47.02083333,8.355516667,434,214,104,7.23,20,22.28,19.68,16.83,0.13,0.5,0.332,NA,NA,0.794,0,0.075,0,0.127,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH_MOR",2015-08-13,"Morat","FOREL","Switzerland",46.92760833,7.074027778,429,45,NA,1.2,14,13.16,26.75,20.35,0.07,1.4,2.043,NA,4.608,1.128,0.101,0.147,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0
"CH_OBE",2015-08-18,"Ober ","FOREL","Switzerland",47.20716389,8.821936111,406,48,23,3,19,12.79,22.08,16.12,0.15,0.5,0.469,NA,NA,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH_PFA",2015-08-20,"Pfaffikon","FOREL","Switzerland",47.35079167,8.782402778,537,36,18.5,2.3,10,7.21,22.79,15.14,0.02,0.7,0.375,NA,5.304,2.663,0.252,0.59,0,0,0,0.144,0,0.098,0,0,0,0.005,0,0,0.011,0,0,0,0,0,0,0
"CH_SEM",2015-08-22,"Sempacher","FOREL","Switzerland",47.14369444,8.150269444,504,87,44,1.5,13,8.6,22.18,17.09,0.05,0.5,0.256,NA,4.058,4.166,1.248,0.54,0,0,0,0.131,0,0,0,0,0.049,0.002,0,0,0.0036,0,0,0,0,0,0,0
"CH_SHL2",2015-08-03,"Geneva_SHL2","FOREL","Switzerland",46.44721944,6.583597222,372,310,154.4,5.95,25,16.14,22.16,18.12,0.04,0.9,0.32,NA,NA,1.781,0.658,0.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH_SOP",2015-08-04,"Sopen","FOREL","Switzerland",47.0899,8.080633333,596,27,NA,2.6,10,5.61,23.34,18.39,0.09,1.4,0.137,0.36,12.237,11.181,4.055,0.846,0,0,0,0.294,0,0,0,0,0,0.04,0.0725,0,0.1148,0.0148,0,0,0,0,0,0
"CH_ZUR",2015-08-18,"Zurich","FOREL","Switzerland",47.32166667,8.565,406,143,49,4.7,15,12.15,22.95,18.58,0.03,0.6,0.283,NA,NA,7.598,0,0,0,0,0,0,0,0,0,0,0,0.191,1.0311,0,0.3319,0,0,0,0,0,0,0
"CY_AKA",2015-06-24,"Akaki_Malounda","AQUA-CY","Cyprus",35.03,33.17,398,28,11,0.3,8,1.29,24.59,24.25,0.18,0.6,0.379,0.05,10.984,3.474,0.546,0.212,0,0,0,0.104,0.333,0.322,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"CY_ASP",2015-06-10,"Asprokremmos Reservoir","AQUA-CY","Cyprus",34.73955556,32.55866667,80,43,23,2.7,16,6.27,23.49,22.29,0.25,0.5,0.121,0.02,34.957,1.083,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY_KAN",2015-06-09,"Kannaviou Reservoir","AQUA-CY","Cyprus",34.92888889,32.58938889,414,44,19.5,7.35,39,37.48,22.08,19.57,0.05,0.1,0.037,NA,4.672,5.965,1.071,0.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY_KOU",2015-06-11,"Kouris Reservoir","AQUA-CY","Cyprus",34.74636111,32.92194444,247,91,36,3.5,35,25.48,22.94,20.74,0.11,0.6,0.568,NA,7.496,2.966,0.268,0.157,0,0,0,0,0.693,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY_POL",2015-06-17,"Polemidia","AQUA-CY","Cyprus",34.72,32.99,136,26,11.7,3.7,16.5,0.75,25.69,24.28,0.19,0.6,0.034,0.02,75.518,1.506,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ_BOS",2015-07-13,"Boskovice","RECETOX","Czech Republic",49.496334,16.696983,430,33,NA,4.4,7,5.72,22.01,18.52,0.19,1.3,0.919,0.04,4.679,0.72,0,0,0,0,0.165,0.131,0,0.269,0,0,0,0.005,0,0.026,0.0017,0.0113,0,0,0,0,0,0
"CZ_BRN",2015-07-09,"Brnenska prehrada","RECETOX","Czech Republic",49.237133,16.511232,225,24,NA,3.04,13,4.71,22.77,20.58,0.15,2.3,1.938,0.23,13.9,2.511,0.599,0,0,0,0,0,0,0,0,0,0,0.006,0.0512,0.0686,0.0054,0.0228,0,0,0,0,0,0
"CZ_HAM",2015-07-15,"Hamry","RECETOX","Czech Republic",49.737267,15.914233,592,12,NA,1.49,5.5,3.47,19.96,18.44,0.08,0.9,0.189,0.09,5.299,17.047,0.938,0.548,0,0.532,0,0.231,0,0.283,0,0,0.96,0.002,0,0.0469,0.0028,0.0169,0,0,0,0,0,0
"CZ_LET",2015-07-13,"Letovice","RECETOX","Czech Republic",49.554466,16.555149,330,27,NA,2.15,8,6.08,22.75,20.99,NA,4.1,2.262,0.02,NA,8.365,0.598,0.607,0,0.713,0,0,0,0.437,0,0,0,0.002,0,0.0373,0.0024,0.0183,0,0,0,0,0,0
"CZ_LUH",2015-07-09,"Luhacovice","RECETOX","Czech Republic",49.121517,17.774866,280,13,NA,0.8,4,3.89,24.1,22.61,0.05,0.4,NA,NA,NA,54.5,0,0.954,2.761,0,0,0.463,0,8.914,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.0836
"CZ_MAT",2015-07-15,"Matejovsky","RECETOX","Czech Republic",49.535168,15.882933,562,5,NA,0.75,3,NA,20.62,20.5,0.04,1.3,0.038,0.08,7.817,23.197,2.969,1.146,0,0,0,1.208,0,0.787,0,0,0,0.065,0,0.1211,0.0076,0.105,0,0,0,0,0,0.0016
"CZ_MOS",2015-07-20,"Mostiste","RECETOX","Czech Republic",49.395866,16.015217,459,31,NA,3.5,5,4.38,23.86,23.33,NA,4.6,3.562,0.03,NA,10.176,0,0.673,0,0,0,0.114,0,0.391,0,0,0,0.039,0.0287,0.1261,0.0203,0.3512,0.0076,0,NA,0,0,0
"CZ_NES",2015-07-07,"Nesyt","RECETOX","Czech Republic",48.77795,16.742849,175,6,NA,0.32,3,0.75,22.37,21.41,0.33,0.6,NA,0.01,114.85,69.385,6.712,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0.0151,0,0,0,0,0,0,0.0056
"CZ_NML",2015-07-07,"Nove Mlyny II","RECETOX","Czech Republic",48.893284,16.643499,167,5,NA,0.5,3,0.75,24.67,22.29,0.22,1,0.01,0.08,184.832,46.067,6.808,1.996,0,1.402,0,1.533,0,1.109,0,0,0,0.002,0,0,0,0.0191,0,0,0,0,0,0.0011
"CZ_NOV",2015-07-07,"Novovesky","RECETOX","Czech Republic",48.934191,16.529216,178,8,NA,0.18,2,0.75,23.36,21.83,0.23,1.4,0.516,0.24,62.984,0.614,0,0.974,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ_VDA",2015-07-15,"Velke Dako","RECETOX","Czech Republic",49.632233,15.90435,614,3,NA,0.4,2,NA,18.9,18.88,0.05,0.4,NA,NA,7.349,55.674,4.607,8.744,0,0,0,0,0,0,0,0,0,0.002,0,0,0.0283,0,0,0,0,0,0,0
"DE_BIKO",2015-09-02,"Bikowsee","IGB","Germany",53.14811,12.8870556,53,3,2.5,0.7,2.5,0.84,21.62,20.87,0.03,1.4,0.018,0.02,NA,37.356,1.162,2.239,2.211,0,0,0,0,0,0,0,0,0.044,0,0,0.0237,0,0,0,0,0,0.0179,0
"DE_CARWI",2015-08-13,"Carwitzersee","IGB","Germany",53.315693,13.452971,84,30,9.2,0.9,10,7.96,22.09,18.3,0.08,0.9,0.011,0.03,4.67,2.083,0.176,0,0,0,0,0,0,0.194,0,0,0,0.002,0,0,0.0028,0,0,0,0,0,0,0
"DE_CON",2015-08-04,"Constance","Ukon","Germany",47.75788,9.12617,395,251,100,6.7,20,NA,20.16,16.05,0.04,1.1,0.5,0.02,NA,1.805,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"DE_DABEL",2015-09-07,"Grosser Dabelowsee","IGB","Germany",53.254358,13.204838,60,3,2.3,0.9,2.5,NA,17.95,17.83,0.02,0.3,NA,0.11,NA,19.59,1.181,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422,0
"DE_DAGOW",2015-07-09,"Dagowsee","IGB","Germany",53.151,13.0531111,60,10,5,0.9,8,5.05,21.01,15.83,0.08,NA,0.023,0.03,NA,9.448,1.056,0,0,0,0,0,0,0,0,0,0,0.018,0.3308,0,0.0521,0,0,0,0,0,0.1647,0
"DE_DOLLGE",2015-08-22,"Dollgenesee","IGB","Germany",52.60658,14.1712222,10,29,8.8,1.12,12,9.67,22.78,15.03,0.02,1,0.03,0.03,6.363,3.672,0.593,0,0,0.391,0,0,0,0.248,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE_DOMJU",2015-09-07,"Domjuchsee","IGB","Germany",53.329786,13.130422,64,5,3.5,1.2,3.5,NA,19.17,18.97,0.03,NA,0.013,0.03,NA,2.607,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE_ELLEN",2015-09-04,"Ellengowsee","IGB","Germany",53.213974,13.028633,55,17,NA,1.45,8.5,6.29,19.99,17.58,NA,NA,NA,NA,11.674,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.024,0.1386,0,0.0212,0,0,0,0,0,0.0656,0.0083
"DE_FUIRS",2015-09-07,"Fuirstensersee","IGB","Germany",53.316546,13.163811,55,10,4.3,1.7,10,8.93,18.46,17.72,NA,NA,0.044,0.15,11.53,1.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"DE_FUKUNE",2015-09-03,"Fukuschkule","IGB","Germany",53.10569,12.9849444,55,6,3.5,0.25,4.5,1.53,19.17,13.92,NA,1.9,NA,0.06,18.043,14.828,1.322,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"DE_KLEIN",2015-09-01,"Kleiner Wentowsee","IGB","Germany",53.07803,13.1714444,48,2,NA,0.6,2,NA,22.55,22.24,0.08,0.7,0.007,0.02,5.147,67.465,7.696,3.487,2.034,0.902,0,2.277,7.003,6.37,0,0,0,0.002,0,0.0946,0,0.0262,0,0,0,0,0.0202,0.21
"DE_LABUS",2015-09-04,"Labusee","IGB","Germany",53.20386,12.8755,58,10,4.3,0.6,10,7.71,19.83,17.07,0.04,NA,NA,NA,NA,4.891,0,0.461,0,0,0,0,0,0,0,0,0,0.002,0,0,0.0092,0,0,0,0,0,0.0352,0.0041
"DE_LAN",2015-07-27,"LangerSee","BTU","Germany",52.2445,13.78544444,NA,NA,NA,0.4,3,NA,21.39,21.39,0.1,0.6,NA,0.03,7.844,84.388,9.72,2.036,0.765,1.757,0,1.828,2.132,2.963,0,0,0,0.009,0.1884,0,0.0202,0,0,0,0,0,0.0744,0.624
"DE_MUGGE",2015-08-25,"Muggelsee","IGB","Germany",52.441171,13.657738,32,8,4.9,0.6,6.5,NA,21.93,21.95,0.1,1.1,0.023,0.08,29.77,1.525,0,0,0,0,0,0,0,0.299,0,0,0,0.002,0,0.0424,0.0028,0.0385,0,0,0,0,0,0
"DE_OBER",2015-08-07,"Oberuckersee","IGB","Germany",53.174916,13.856108,18,28,8.3,3.5,11,10.69,24.53,18.32,0.04,0.3,0.032,0.05,5.977,2.702,0.228,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.0028,0.0115,0,0,0,0,0,0
"DE_PEETS",2015-08-16,"Peetschsee","IGB","Germany",53.237915,12.861389,6,30,NA,0.67,15,10.3,23.77,16.39,0.02,0.1,NA,0.09,5.404,3.314,0.588,0.482,0,0,0,0,1.642,1.55,0,0,0,0,0.047,0,0.0028,0,0,0,0,0,0.0142,0.0047
"DE_PFSAR",2015-09-07,"Pfsarrsee","IGB","Germany",53.28372,13.1958611,NA,5,3,0.69,5,4.91,18.42,17.72,0.02,0.3,0.008,0.04,NA,34.29,2.207,2.465,0,0,0,0,0,0,0,0,0,0.015,0.3318,0,0.0199,0,0,0,0,0,0.1833,0.0157
"DE_PLA",2015-08-19,"Plauersee","IGB","Germany",53.487471,12.349336,62,20,6.8,1.28,15,16.51,21.51,18.98,0.06,1.7,0.019,0.13,6.131,2.023,0.196,0,0,0,0,0,0,0,0,0,0,0.002,0.0293,0,0,0,0,0,0,0,0,0
"DE_PLATI",2015-08-31,"Platinsee","IGB","Germany",53.22458,12.9802778,55,35,9,3.2,11,7.83,20.18,17.64,0.04,NA,0.012,0.03,NA,0.598,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.0028,0,0,0,0,0,0.0171,0
"DE_PREBE",2015-09-15,"Prebelowsee","IGB","Germany",53.176337,12.881906,NA,NA,NA,0.7,2.5,NA,21.29,21.28,0.04,0.7,0.029,NA,6.129,5.39,0.858,0,0,0,0,0.347,0,0.268,0,0,0,0,0,0,0,0,0,0,0,0,9e-04,0
"DE_ROBLI",2015-08-31,"Roblinsee","IGB","Germany",53.183187,13.116817,53,6,4.5,0.69,4.5,1.09,24.91,21.04,NA,NA,0.014,0.02,8.453,2.723,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0
"DE_ROOFE",2015-09-01,"Roofensee","IGB","Germany",53.11067,13.0350222,NA,NA,NA,0.7,8,7.77,22.5,19.91,0.02,0.7,0.051,0.03,4.364,1.651,0.146,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.0028,0.0557,0,0,0,0,0,0
"DE_SCH",2015-07-20,"Scharmutzelsee","BTU","Germany",52.21683,14.0235,NA,NA,NA,1.1,6,10.18,21.72,21.04,0.08,0.5,NA,0.03,6.235,3.384,0.266,0.775,0,0,0,0,0,0.223,0,0,0,0,0,0,0.0027,0,0,0,0,0,0.0013,8e-04
"DE_SCHAM",2015-08-27,"Scharmutzelsee","IGB","Germany",52.284163,14.052641,NA,NA,NA,0.85,17,8.36,21.5,16.87,NA,0.7,NA,NA,23.429,8.689,0.388,1.019,0,0,0,0,0,0,0,0,0,0.117,0.6541,0,0.095,0,0,0,0,0,0,0
"DE_SCHLA",2015-09-02,"Schlabornsee","IGB","Germany",53.151814,12.867381,56,9,5.5,0.7,4.5,4.64,21.69,21.29,NA,0.3,NA,0.02,7.978,9.04,0.655,0.643,0,0,0,0,0,0,0,0,0,0,0.1803,0,0.0104,0,0,0,0,0,0.0987,0.0044
"DE_SCHWO",2015-08-31,"Schwedtsee","IGB","Germany",53.18828,13.1496111,52,4,2.5,0.67,2.5,0.75,23.65,21.49,0.06,0.5,0.009,0.02,6.848,1.953,0,2.615,0,0.692,0,0,0,0.463,0,0,0,0.014,0.1921,0,0.0194,0.0145,0,0,0,0,0.388,0.1033
