Date,Country,Lake Name,Total Concentration Cyanobacterial Hepatotoxins (ug/L),Total Concentration Photosynthetic Pigments (ug/L),Latitude,Longitude,Maximum Lake Depth (m),Mean Depth Lake (m),Lake Surface Temperature (C),Epilimnetic Temperature (C),Phosphate Concentration (mg/L),Nitrogen Concentration (mg/L),Concentration of Nitrates and Nitrites (mg/L),Concentration of Ammonia (mg/L),Concentration of Ortho-phosphate (ug/L),Concentration of Chlorophyll-a (ug/L),Concentration of Chlorophyll-b (ug/L),Concentration of Zeaxanthin (ug/L),Concentration of Alloxanthin (ug/L),Concentration of Chlorophyll-c2 (ug/L),Concentration of Microcystin YR (ug/L),Concentration of Microcystin dmLR (ug/L),Concentration of Microcystin LR (ug/L)
2015-06-10,Cyprus,Asprokremmos Reservoir,0.0,0.25,34.73955556,32.55866667,43.0,23.0,23.49,22.29,0.25,0.5,0.121,0.02,34.957,1.083,0.167,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-18,Turkey,Mollakoy,0.0,0.12340000000000001,40.688141,30.389838,11.0,5.6,28.6,24.38,0.02,0.5,0.005,0.08,13.883,0.48,0.137,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-11,Turkey,Mogan,0.0,2.6802,39.77888889,32.79611111,5.0,2.44,26.86,25.41,0.04,1.3,0.007,0.05,21.525,7.762,0.715,2.707,0.611,1.606,0.0,0.0,0.0
2015-08-06,Slovenia,Gajsevsko,0.0,7.0858,46.53325278,16.12036667,3.0,1.5,23.9,23.32,0.17,0.6,0.012,0.12,17.175,23.505,6.917,5.007,0.0,0.0,0.0,0.0,0.0
2015-08-11,Poland,Podkamycze_1,0.0,5.103800000000001,50.08638889,19.83377778,6.0,2.85,26.99,23.71,0.03,3.1,1.081,0.2,20.623,23.786,1.507,0.0,0.226,0.0,0.0,0.0,0.0
2015-08-21,Croatia,Savica,0.0,3.3200000000000003,45.769,16.03244444,4.0,4.0,24.8,24.58,0.03,0.5,0.055,0.07,7.805,10.357,3.541,1.787,0.302,0.613,0.0,0.0,0.0
2015-08-27,Croatia,Bajer,0.0,0.17520000000000002,45.30633333,14.71333333,7.0,3.5,16.7,13.37,0.02,0.6,1.095,0.08,7.746,0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-16,Greece,Volvi,0.0,1.4993999999999998,40.66705556,23.54194444,28.0,13.5,26.0,24.43,0.12,0.9,0.026,0.02,19.236,6.529,0.428,0.377,0.0,0.163,0.0,0.0,0.0
2015-07-29,Spain,Sobron Resrbvoir,0.0,3.0641999999999996,42.76691944,-3.102138889,33.0,7.0,23.07,22.78,0.08,0.2,0.247,0.03,5.362,12.166,0.694,0.913,0.852,0.696,0.0,0.0,0.0
2015-08-22,Spain,Laguna Rio Viejo,0.0,64.0416,36.67361944,-4.455016667,1.0,0.5,26.21,26.21,0.82,5.3,0.075,0.95,1285.624,197.926,111.781,10.501,0.0,0.0,0.0,0.0,0.0
